from,to
76561198061266696,76561198052024056
76561198061266696,76561198053084571
76561198061266696,76561198053112739
76561198061266696,76561198053271169
76561198061266696,76561198053538273
76561198061266696,76561198053721980
76561198061266696,76561198054343990
76561198061266696,76561198054643152
76561198061266696,76561198054934812
76561198061266696,76561198055452369
76561198061266696,76561198055500397
76561198061266696,76561198055582306
76561198061266696,76561198055642098
76561198061266696,76561198055663251
76561198061266696,76561198055722397
76561198061266696,76561198055911249
76561198061266696,76561198056018303
76561198061266696,76561198056157207
76561198061266696,76561198056260531
76561198061266696,76561198056263012
76561198061266696,76561198056322777
76561198061266696,76561198056585037
76561198061266696,76561198056696274
76561198061266696,76561198056705108
76561198061266696,76561198056763895
76561198061266696,76561198056994397
76561198061266696,76561198057287524
76561198061266696,76561198057453793
76561198061266696,76561198057633568
76561198061266696,76561198057991778
76561198061266696,76561198058888157
76561198061266696,76561198059037865
76561198061266696,76561198059086273
76561198061266696,76561198059354599
76561198061266696,76561198059439138
76561198061266696,76561198059586778
76561198061266696,76561198060103741
76561198061266696,76561198060299122
76561198061266696,76561198060321496
76561198061266696,76561198060343391
76561198061266696,76561198060411639
76561198061266696,76561198060650771
76561198061266696,76561198060708068
76561198061266696,76561198060815982
76561198061266696,76561198060935334
76561198061266696,76561198060967389
76561198061266696,76561198061058737
76561198061266696,76561198061077294
76561198061266696,76561198061167184
76561198061266696,76561198061535631
76561198061266696,76561198061661326
76561198061266696,76561198061663769
76561198061266696,76561198061886082
76561198061266696,76561198062083169
76561198061266696,76561198062146717
